sku,national_inv,lead_time,in_transit_qty,forecast_3_month,forecast_6_month,forecast_9_month,sales_1_month,sales_3_month,sales_6_month,sales_9_month,min_bank,potential_issue,pieces_past_due,perf_6_month_avg,perf_12_month_avg,local_bo_qty,deck_risk,oe_constraint,ppap_risk,stop_auto_buy,rev_stop,went_on_backorder
3288028,0,9,0,1,1,1,0,0,0,0,0,No,0,0.93,0.78,0,No,No,No,Yes,No,No
3288076,2,12,0,2,4,4,0,0,0,0,0,No,0,0.73,0.79,0,No,No,No,Yes,No,No
3288077,25,8,0,0,0,0,1,2,2,2,0,No,0,-99,-99,0,No,No,Yes,Yes,No,No
3288125,3,2,0,4,10,14,2,6,12,15,1,No,0,0.98,0.98,0,No,No,No,Yes,No,No
3288128,26012,8,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,Yes,Yes,No,No
3288311,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
3288413,256,52,0,0,0,0,3,6,13,25,0,No,0,0.79,0.66,0,Yes,No,No,Yes,No,No
3288414,4,8,0,0,1,3,0,0,4,8,0,No,0,0.79,0.66,0,No,No,No,Yes,No,No
3288415,7,8,0,0,0,0,0,0,0,0,0,No,0,0.64,0.64,0,No,No,No,Yes,No,No
3288460,90,9,4,0,6,30,12,29,47,78,8,No,0,0.94,0.83,0,No,No,No,Yes,No,No
3288607,20,12,0,0,0,0,0,0,0,0,15,No,0,0.48,0.48,0,Yes,No,No,Yes,No,No
3288795,4805,8,570,760,2280,4233,777,1984,3096,5554,783,No,0,0.27,0.13,0,No,No,No,Yes,No,No
3288844,1,8,0,0,0,0,0,0,0,1,2,No,0,0.9,0.92,0,No,No,No,Yes,No,No
3288845,8,8,0,0,0,0,0,0,0,0,0,No,0,0.99,0.99,0,No,No,No,Yes,No,No
3288852,3,15,0,0,0,0,0,0,0,0,0,No,0,0.78,0.75,0,No,No,No,Yes,No,No
3288936,819,8,72,0,560,560,113,355,740,1171,133,No,0,0.99,0.99,0,No,No,No,Yes,No,No
3288982,873,8,0,0,0,0,6,14,39,58,9,No,0,0.66,0.64,0,No,No,Yes,Yes,No,No
3288983,22,8,0,11,26,41,3,13,32,47,0,No,0,0.78,0.75,0,No,No,No,Yes,No,No
3288984,16,,0,0,11,11,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
3289016,179,8,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
3289092,30,,0,0,0,0,0,0,2,3,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
3289219,5,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
3289221,5,8,0,0,0,0,0,0,1,1,0,No,0,0.9,0.95,0,No,No,No,Yes,No,No
3289270,46,2,13,52,130,221,11,49,69,74,0,No,0,0.97,0.93,0,No,No,No,Yes,No,No
3289271,5,12,0,0,0,0,0,0,0,0,0,No,0,0.73,0.79,0,No,No,No,Yes,No,No
3289363,2,9,0,4,5,7,0,3,4,8,1,No,0,0.99,0.99,0,No,No,No,Yes,No,No
3289458,40,9,0,0,0,0,2,3,8,11,0,No,0,0.94,0.83,0,No,No,No,Yes,No,No
3289459,57,9,60,73,151,229,0,57,137,236,0,No,0,0.94,0.83,0,No,No,No,Yes,No,No
3289509,48,2,0,0,0,0,0,0,0,0,1,No,0,0.99,0.99,0,Yes,No,No,Yes,No,No
3289511,12,2,0,0,0,0,0,0,0,0,0,No,0,0.8,0.85,0,Yes,No,Yes,Yes,No,No
3289603,10,4,0,0,0,0,0,0,0,0,0,No,0,0.73,0.78,0,No,No,No,Yes,No,No
3289604,5,4,0,0,0,0,1,2,3,3,0,No,0,0.73,0.78,0,No,No,No,Yes,No,No
3289605,7,2,0,0,0,0,0,0,1,1,0,No,0,1,0.92,0,No,No,No,Yes,No,No
3289652,26,12,0,3,42,58,3,17,56,77,5,No,0,0.7,0.76,0,No,No,No,Yes,No,No
3289666,11,2,0,0,0,0,0,0,0,0,0,No,0,0,0,0,No,No,No,Yes,No,No
3289699,2110,4,0,1750,3500,5250,417,1295,2832,4273,425,No,0,0.98,0.96,0,No,No,No,Yes,No,No
3289745,8,4,0,2,3,5,3,6,6,10,0,No,0,0.73,0.78,0,No,No,No,Yes,No,No
3289924,10,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
3290120,818,2,0,250,750,1000,95,350,698,988,111,No,0,0.91,0.76,0,No,No,No,Yes,No,No
3290121,587,8,0,0,0,0,4,17,34,52,2,No,0,0.99,0.98,0,No,No,No,Yes,No,No
3290411,8,4,0,0,0,0,0,0,0,0,0,No,0,0.73,0.78,0,No,No,No,Yes,No,No
3290412,5,4,2,0,0,0,0,0,0,0,0,No,0,0.73,0.78,0,Yes,No,No,Yes,No,No
3290505,58,8,0,746,746,746,1,10,33,58,0,No,0,0.5,0.52,0,Yes,No,No,No,No,No
3290551,15,4,0,0,0,0,0,0,0,0,0,No,0,0.73,0.78,0,No,No,No,Yes,No,No
3290553,16,12,0,0,0,0,1,4,11,19,2,No,0,0.73,0.87,0,No,No,No,Yes,No,No
3290692,923,8,354,1362,2674,3986,567,1107,1841,3017,243,No,0,0.99,0.98,0,No,No,No,Yes,No,No
3290739,6,12,0,0,2,5,0,1,7,8,0,No,0,0.73,0.79,0,No,No,No,Yes,No,No
3290785,14,12,0,0,0,0,1,2,2,3,1,No,0,0.92,0.94,0,No,No,No,Yes,No,No
3290802,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
3290876,35,8,3,0,16,16,4,10,27,43,16,No,0,0.99,0.98,0,No,No,No,Yes,No,No
3291115,166,8,30,135,345,570,55,196,374,556,83,No,0,0.88,0.87,0,No,No,No,Yes,No,No
3291498,-2,9,0,12,16,20,0,5,8,13,2,No,0,0.94,0.83,2,No,No,Yes,Yes,No,No
3291545,20,12,0,0,0,0,0,0,0,0,1,No,0,0.48,0.48,0,Yes,No,No,Yes,No,No
3291594,3,4,0,0,0,0,0,0,0,0,0,No,0,0.73,0.78,0,No,No,No,Yes,No,No
3291829,4,12,0,0,0,0,0,0,0,0,0,No,0,0.73,0.79,0,Yes,No,No,Yes,No,No
3291859,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
3291876,4998,8,3921,2308,2308,2308,109,375,842,1451,77,No,0,0.54,0.54,0,No,No,No,Yes,No,No
3291970,15,14,0,0,0,0,1,3,9,15,0,No,0,0.89,0.9,0,No,No,No,Yes,No,No
3292063,26,8,0,20,20,40,1,8,34,53,0,No,0,0.97,0.93,0,No,No,No,Yes,No,No
3292111,28,8,0,15,35,55,6,28,62,99,0,No,0,0.82,0.81,0,No,No,No,Yes,No,No
3292257,14,10,0,0,20,40,0,9,13,24,1,No,0,0.98,0.98,0,No,No,No,Yes,No,No
3292497,8,2,0,0,0,0,0,0,0,0,0,No,0,0.95,0.94,0,No,No,No,Yes,No,No
3292498,6,2,0,0,0,0,1,1,1,1,0,No,0,0.82,0.89,0,No,No,No,Yes,No,No
3361039,9,,0,0,0,0,0,0,0,0,1,No,0,-99,-99,0,No,No,No,Yes,No,No
3292641,9,8,0,0,0,0,0,0,1,3,0,No,0,0.96,0.98,0,Yes,No,No,Yes,No,No
3292734,458,52,2,0,0,0,16,43,73,106,1,No,0,0.99,0.96,0,Yes,No,No,Yes,No,No
3292782,3,8,0,0,0,0,1,2,5,7,2,No,0,1,0.99,0,Yes,No,No,Yes,No,No
3292925,38,12,14,28,56,70,13,35,77,122,18,No,0,1,0.99,0,No,No,No,Yes,No,No
3292926,6,9,0,0,0,0,0,0,0,0,0,No,0,0.99,0.98,0,No,No,No,Yes,No,No
3292927,2,8,0,0,0,1,0,0,3,3,0,No,0,0.97,0.97,0,No,No,Yes,Yes,No,No
3292928,2,12,0,0,0,0,0,0,0,0,0,No,0,0.73,0.79,0,No,No,No,Yes,No,No
3293021,32,8,1,0,0,8,5,14,23,35,0,No,0,0.8,0.79,0,No,No,No,Yes,No,No
3293168,3907,8,1773,2000,5000,7000,954,2847,5476,8598,993,No,0,0.93,0.89,0,No,No,No,Yes,No,No
3293260,10,2,0,0,0,0,0,0,0,0,1,No,0,0,0,0,Yes,No,No,Yes,No,No
3293358,2,12,0,0,0,0,0,1,1,1,0,No,0,0.77,0.73,0,No,No,No,Yes,No,No
3293366,11,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
3293550,73,8,0,0,0,0,0,2,3,4,3,No,0,0.79,0.79,0,No,No,No,Yes,No,No
3293690,2,52,0,0,0,0,0,1,1,1,1,No,0,1,0.98,0,Yes,No,No,No,No,No
3293696,137,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
3293737,171,8,0,0,0,0,0,0,0,0,1,No,0,0.06,0.21,0,No,No,No,Yes,No,No
3293738,20,14,0,0,0,0,0,0,0,0,2,No,0,0.99,0.99,0,No,No,No,Yes,No,No
3293748,13,,6,0,0,0,0,0,3,5,3,No,0,-99,-99,0,No,No,No,No,No,No
3293784,5,9,0,0,0,0,0,3,6,6,0,No,0,0.7,0.66,0,Yes,No,No,Yes,No,No
3293832,100,8,0,0,0,0,2,11,26,36,3,No,0,0.66,0.66,0,No,No,Yes,Yes,No,No
3293878,291,8,154,429,781,1133,144,439,796,1162,134,No,0,0.9,0.89,0,No,No,Yes,Yes,No,No
3293925,2,9,0,0,0,0,0,0,0,0,0,No,0,0.7,0.66,0,No,No,No,Yes,No,No
3294069,6,2,0,0,0,0,0,0,0,0,0,No,0,0.99,0.99,0,No,No,No,Yes,No,No
3294072,45,2,0,0,0,0,0,0,0,0,0,No,0,0.89,0.89,0,Yes,No,No,Yes,No,No
3294212,40,2,4,0,5,10,4,15,33,53,0,No,0,0.92,0.94,0,No,No,No,Yes,No,No
3294259,928,2,30,600,1600,2300,222,711,1231,1426,276,No,0,0.99,0.93,0,No,No,No,Yes,No,No
3294260,4,2,0,0,0,0,0,0,0,0,0,No,0,0.94,0.96,0,Yes,No,No,Yes,No,No
3294305,13,12,0,0,0,0,0,0,0,0,0,No,0,0.77,0.73,0,No,No,No,Yes,No,No
3294401,215,4,87,126,305,455,38,163,338,491,39,No,0,0.73,0.78,0,No,No,No,Yes,No,No
3294495,9,12,3,5,5,10,3,5,11,16,2,No,0,0.88,0.64,0,No,No,No,Yes,No,No
3294496,0,8,0,0,0,0,0,0,0,0,0,No,0,0.76,0.83,0,No,No,No,Yes,No,No
3311747,1,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
3294586,19,12,0,20,40,40,3,16,24,32,0,No,0,0.98,0.98,0,No,No,No,Yes,No,No
3294678,121,,0,0,0,0,0,0,1,3,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
3294724,38,12,0,0,0,0,0,0,0,0,0,No,0,0.77,0.73,0,No,No,No,Yes,No,No
3294725,8,8,0,0,0,0,1,2,4,6,1,No,0,0.79,0.85,0,No,No,No,Yes,No,No
3294726,23,8,1,30,45,60,10,22,49,70,1,No,0,0.99,0.99,0,No,No,No,Yes,No,No
3294889,4,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,No,No,No
3294912,106,2,15,160,240,320,37,105,169,263,30,No,0,1,0.99,0,No,No,No,Yes,No,No
3294913,17,3,3,15,45,70,2,15,41,71,0,No,0,0.89,0.9,0,No,No,No,Yes,No,No
3295009,2,2,1,1,1,1,0,0,2,2,0,No,0,0.93,0.87,0,Yes,No,No,Yes,No,No
3295011,10,4,0,0,0,0,0,0,0,0,0,No,0,0.7,0.66,0,No,No,No,Yes,No,No
3295083,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
3295251,5,12,0,0,0,0,0,0,0,0,0,No,0,0.77,0.73,0,No,No,No,Yes,No,No
3295298,264,8,0,216,432,672,66,208,447,714,88,No,0,0.9,0.89,0,No,No,Yes,Yes,No,No
3295395,7,8,0,0,0,1,1,1,2,6,1,No,0,0.99,0.91,0,No,No,No,Yes,No,No
3295445,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
3295579,1,12,0,0,0,0,0,0,0,0,0,No,0,0.73,0.79,0,No,No,No,Yes,No,No
3295607,2,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
3295624,9,9,0,0,4,8,3,5,11,19,3,No,0,0.98,0.98,0,No,No,No,Yes,No,No
3295625,10,8,0,0,0,0,2,2,4,5,0,No,0,0.87,0.8,0,No,No,No,Yes,No,No
3316488,1,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
3295713,8,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
3295717,0,8,0,3,4,5,1,3,4,5,1,No,0,0.99,0.97,0,No,No,No,Yes,No,No
3295718,236,8,187,378,871,1414,130,526,1066,1559,100,No,0,0.75,0.67,0,No,No,No,Yes,No,No
3295764,834,5,101,3719,6139,8497,739,2803,5469,9032,352,No,0,0.73,0.7,0,No,No,No,Yes,No,No
3295814,2,12,0,0,0,0,0,0,0,1,0,No,0,0.57,0.68,0,No,No,No,Yes,No,No
3295861,14,8,0,0,0,0,0,0,0,0,1,No,0,0.96,0.92,0,No,No,No,Yes,No,No
3295907,68,2,0,60,160,260,16,59,113,137,3,No,0,0.96,0.96,0,No,No,No,Yes,No,No
3296013,3,12,0,0,0,0,0,0,0,0,0,No,0,0.57,0.68,0,No,No,Yes,Yes,No,No
3296115,18,52,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,Yes,No,No,No
3296144,8,2,0,0,0,0,2,2,3,3,0,No,0,0.81,0.78,0,Yes,No,Yes,Yes,No,No
3296146,5,2,0,0,0,0,0,0,0,0,1,No,0,0.15,0.1,0,Yes,No,No,Yes,No,No
3296191,3,12,0,0,0,0,0,0,0,0,0,No,0,0.77,0.73,0,No,No,No,Yes,No,No
3296237,23,9,0,0,0,0,0,2,5,9,0,No,0,0.85,0.82,0,No,No,No,Yes,No,No
3296238,7,4,0,0,5,5,0,1,6,7,0,No,0,0.92,0.89,0,No,No,No,Yes,No,No
3296239,44,9,0,0,0,0,1,1,4,6,0,No,0,0.85,0.82,0,No,No,No,Yes,No,No
3296284,23,4,1,13,26,39,8,20,36,52,0,No,0,0.73,0.78,0,No,No,No,Yes,No,No
3296285,13,2,0,0,0,0,0,0,2,5,0,No,0,0.98,0.97,0,No,No,No,Yes,No,No
3296286,16,9,0,0,0,0,0,0,0,0,0,No,0,0.93,0.78,0,No,No,No,Yes,No,No
3296287,27,4,0,0,0,0,0,0,0,0,0,No,0,0.73,0.78,0,No,No,No,Yes,No,No
3296424,354,2,4,532,1204,1708,165,558,1177,1797,141,No,0,1,0.99,0,No,No,No,Yes,No,No
3296470,263,14,3,0,0,0,4,23,61,89,46,No,0,0.46,0.4,0,No,No,No,Yes,No,No
3296471,2,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
3296475,176,8,0,0,0,0,8,31,69,104,24,No,0,0.95,0.95,0,No,No,No,Yes,No,No
3296514,192,52,0,0,0,0,1,1,1,1,1,No,0,0.98,0.94,0,Yes,No,No,No,No,No
3296560,2,12,0,0,0,0,0,0,1,1,1,No,0,1,0.99,0,No,No,No,Yes,No,No
3296608,149,8,0,51,170,306,41,109,263,382,28,No,0,0.95,0.77,0,No,No,No,Yes,No,No
3296618,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
3296654,44,12,0,0,0,100,6,12,39,41,0,No,0,0.94,0.87,0,No,No,No,Yes,No,No
3296703,8,9,0,7,10,16,5,14,25,46,0,No,0,0.99,0.99,0,No,No,No,Yes,No,No
3296798,188,9,0,0,0,0,0,0,0,0,0,No,0,0.7,0.66,0,No,No,No,Yes,No,No
3296896,5,8,0,0,0,0,1,1,1,1,0,No,0,0.37,0.34,0,No,No,No,Yes,No,No
3296997,37,8,0,0,0,0,0,0,0,0,0,No,0,0.97,0.97,0,No,No,No,Yes,No,No
3297043,1,8,0,2,4,6,0,2,2,5,0,No,0,0.83,0.85,0,No,No,No,Yes,No,No
3297139,3,3,0,0,0,0,1,1,1,1,1,No,0,0.93,0.89,0,Yes,No,No,Yes,No,No
3297185,8,8,0,0,0,0,0,0,0,0,2,No,0,0.56,0.68,0,No,No,No,Yes,No,No
3297186,1,8,0,1,2,3,0,0,2,2,0,No,0,0.97,0.96,0,No,No,No,Yes,No,No
3297280,1,8,0,0,0,0,0,0,0,0,0,No,0,0.5,0.66,0,Yes,No,No,Yes,No,No
3297282,11,12,0,0,0,0,0,0,0,0,1,No,0,0.48,0.48,0,Yes,No,No,Yes,No,No
3297374,6,2,0,17,34,51,5,15,35,51,1,No,0,0.83,0.86,0,No,No,No,Yes,No,No
3297421,19,9,0,0,0,0,0,0,0,0,0,No,0,0.94,0.83,0,Yes,No,No,Yes,No,No
3297534,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,No,No,No
3297559,0,8,0,2,3,5,6,7,12,13,2,No,0,0.63,0.76,0,No,No,Yes,Yes,No,No
3297569,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
3297605,12,2,0,10,20,30,2,12,19,26,2,No,0,0.97,0.98,0,No,No,No,Yes,No,No
3297611,5,8,0,0,0,0,0,0,0,0,0,No,0,0.82,0.81,0,No,No,No,Yes,No,No
3297699,1,0,0,238,338,463,34,118,247,366,50,No,0,0,0,5,No,No,Yes,No,No,No
3297892,790,8,3,456,792,1080,153,678,806,806,128,No,0,0.97,0.97,0,No,No,No,Yes,No,No
3297933,27,,0,0,0,0,0,0,0,0,2,No,0,-99,-99,0,Yes,No,No,No,No,No
3297987,17,8,0,0,0,0,0,0,0,0,0,No,0,0.88,0.9,0,No,No,Yes,Yes,No,No
3298033,0,8,0,6,6,6,0,0,0,1,0,No,0,0.99,0.99,0,No,No,Yes,Yes,No,No
3298034,5,2,0,5,10,10,0,4,6,15,0,No,0,0.99,0.99,0,No,No,No,Yes,No,No
3298035,2,8,0,0,0,0,0,0,0,0,0,No,0,0.79,0.66,0,Yes,No,No,Yes,No,No
3298133,64,,0,0,0,0,0,1,1,3,1,No,0,-99,-99,0,Yes,No,Yes,Yes,No,No
3298134,0,8,0,0,0,0,0,0,0,0,0,No,0,0.67,0.47,0,No,No,No,Yes,No,No
3298178,160,8,3,149,310,425,11,68,179,310,43,No,0,0.35,0.52,0,No,No,No,Yes,No,No
3298272,165,2,25,125,275,275,74,169,298,458,38,No,0,0.99,0.93,0,No,No,No,Yes,No,No
3318490,15,,0,0,0,0,0,1,3,4,0,No,0,-99,-99,0,No,No,No,Yes,No,No
3298365,2837,8,17,0,0,0,158,514,1338,1852,163,No,0,0,0.25,0,No,No,Yes,Yes,No,No
3298457,48,8,5,2950,5750,8400,1004,2407,4856,7057,513,No,0,0.99,0.99,2,No,No,No,Yes,No,No
3298458,211,,0,0,0,0,0,10,12,29,1,No,0,-99,-99,0,Yes,No,No,No,No,No
3298503,38,8,0,0,50,50,1,12,26,39,2,No,0,0.83,0.91,0,No,No,No,Yes,No,No
3298547,242,8,68,60,180,300,43,130,293,449,102,No,0,0.93,0.92,0,No,No,No,Yes,No,No
3298595,6,12,0,1,2,4,0,2,4,8,0,No,0,0.77,0.73,0,No,No,No,Yes,No,No
3298597,625,8,395,0,220,385,92,385,885,1451,80,No,0,0.54,0.54,0,No,No,No,Yes,No,No
3298599,27,8,0,0,0,0,0,0,0,0,0,No,0,0.86,0.7,0,No,No,No,Yes,No,No
3298642,418,8,720,24,24,294,173,448,913,1438,85,No,0,0,0,0,No,No,No,Yes,No,No
3298689,6,8,0,2,2,2,0,2,6,12,1,No,0,0.97,0.97,0,No,No,Yes,Yes,No,No
3298690,161,8,0,27,102,192,17,57,227,333,30,No,0,0.8,0.84,0,No,No,Yes,Yes,No,No
3298787,104,8,0,36,84,84,12,43,99,168,15,No,0,0.97,0.97,0,No,No,No,Yes,No,No
3298837,76,2,0,0,0,0,9,13,20,27,0,No,0,0.72,0.63,0,No,No,Yes,Yes,No,No
3298935,1,12,0,0,0,0,0,0,0,1,0,No,0,0.73,0.79,0,No,No,No,Yes,No,No
3299420,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
3299077,4,4,0,0,0,0,0,0,0,0,0,No,0,0.7,0.66,0,Yes,No,Yes,Yes,No,No
3299078,7,8,0,11,27,47,2,2,2,2,0,No,0,0.7,0.73,0,No,No,No,Yes,No,Yes
3299266,13,12,0,0,0,0,0,0,0,0,1,No,0,0.48,0.48,0,Yes,No,No,Yes,No,No
3299267,13,12,0,0,0,0,0,0,0,0,1,No,0,0.48,0.48,0,Yes,No,No,Yes,No,No
3299313,26,,0,0,0,0,3,5,14,21,2,No,0,-99,-99,0,Yes,No,No,Yes,No,No
3299314,6,8,0,0,0,1,0,1,1,2,2,No,0,1,0.81,0,No,No,No,Yes,No,No
3299359,408,2,5,400,800,1200,68,522,904,1358,137,No,0,1,0.98,0,No,No,No,Yes,No,No
3299398,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
3299407,186,52,0,0,0,0,0,0,0,0,2,No,0,0.97,0.97,0,Yes,No,No,Yes,No,No
3299455,4,12,0,0,0,0,0,0,0,0,0,No,0,0.73,0.79,0,No,No,No,Yes,No,No
3299462,49,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,Yes,Yes,No,No
3299501,3,8,0,0,0,0,0,0,0,0,0,No,0,0.82,0.81,0,Yes,No,No,Yes,No,No
3299546,1555,8,0,0,0,0,5,51,127,269,42,No,0,0.99,0.98,0,No,No,No,Yes,No,No
3299547,92,8,0,0,0,0,0,8,41,83,31,No,0,1,0.94,0,No,No,Yes,Yes,No,No
3299641,109,2,0,0,0,0,0,0,1,2,0,No,0,0.93,0.87,0,No,No,No,Yes,No,No
3299651,76,,0,0,0,0,0,0,2,5,30,No,0,-99,-99,0,Yes,No,No,Yes,No,No
3299689,38,12,0,0,0,0,2,6,10,19,0,No,0,0.73,0.79,0,No,No,Yes,Yes,No,No
3299690,0,8,0,7,10,13,0,0,0,0,0,No,0,0.83,0.85,0,No,No,No,Yes,No,No
3299691,5,12,0,0,0,0,0,0,0,0,0,No,0,0.57,0.68,0,No,No,No,Yes,No,No
3299739,3,12,0,0,0,0,0,0,0,0,0,No,0,0.57,0.68,0,No,No,No,Yes,No,No
3299786,3,9,0,0,0,0,0,0,0,0,0,No,0,0.7,0.66,0,No,No,No,Yes,No,No
3299884,8,2,0,0,0,0,0,0,0,0,2,No,0,0.28,0.36,0,No,No,No,Yes,No,No
3299991,0,,0,0,0,0,0,0,2,3,0,No,0,-99,-99,0,No,No,No,Yes,No,No
3300026,6,2,0,0,0,0,0,0,0,0,0,No,0,0.83,0.85,0,No,No,Yes,Yes,No,No
3300084,0,,0,0,0,0,0,0,0,0,1,No,0,-99,-99,0,No,No,Yes,No,No,No
3300120,32,9,0,0,0,0,0,0,0,0,0,No,0,0.85,0.82,0,No,No,No,Yes,No,No
3300168,10,8,0,0,0,0,0,0,0,0,0,No,0,0.73,0.73,0,No,No,No,Yes,No,No
3300169,3,8,0,0,0,0,0,0,0,0,1,No,0,0.35,0.36,0,No,No,No,Yes,No,No
3300233,3,8,0,0,0,0,0,0,0,0,0,No,0,0,0,0,No,No,No,Yes,No,No
3300262,14,,0,0,0,0,0,0,0,2,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
3300263,145,8,0,0,0,0,1,2,3,6,0,No,0,1,0.9,0,Yes,No,No,Yes,No,No
3300310,6,9,0,0,0,0,0,0,0,0,0,No,0,0.94,0.83,0,Yes,No,No,Yes,No,No
3300416,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
3300496,7,8,0,0,0,0,0,0,0,0,0,No,0,0.99,0.99,0,No,No,No,Yes,No,No
3300593,14,8,0,0,0,0,1,3,4,6,0,No,0,0.78,0.75,0,Yes,No,Yes,Yes,No,No
3300782,7,4,1,0,2,3,0,5,7,9,1,No,0,0.22,0.15,0,Yes,No,No,Yes,No,No
3300874,63,8,12,72,126,198,22,61,153,225,19,No,0,0.99,0.98,0,No,No,No,Yes,No,No
3300875,232,8,4,210,210,210,47,176,300,479,20,No,0,0.85,0.85,0,No,No,No,Yes,No,No
3301207,8,2,8,20,20,20,0,0,0,0,1,No,0,0.95,0.84,0,Yes,No,No,Yes,No,No
3391863,8,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
3301300,149,8,0,103,206,309,24,85,186,297,45,No,0,0.93,0.96,0,No,No,No,Yes,No,No
3301392,0,0,0,0,0,0,0,0,0,0,0,No,0,-99,0,0,No,No,No,Yes,No,No
3301490,1599,2,36,0,0,0,28,129,233,329,48,No,0,0.94,0.97,0,No,No,No,Yes,No,No
3301491,2,9,0,0,0,0,0,0,0,0,0,No,0,0.93,0.78,0,No,No,No,Yes,No,No
3301585,273,8,0,0,0,0,1,3,11,67,23,No,0,0.7,0.86,0,No,No,No,Yes,No,No
3301625,72,,0,0,0,0,1,2,3,4,0,No,0,-99,-99,0,No,No,No,Yes,No,No
3301639,3,,0,0,0,0,0,0,0,1,0,No,0,-99,-99,0,No,No,No,Yes,No,No
3301718,10,,0,6,12,18,0,5,11,17,0,No,0,-99,-99,0,No,No,No,Yes,No,No
3301779,7,9,0,0,0,0,0,0,0,0,1,No,0,0.54,0.48,0,No,No,No,Yes,No,No
3301780,3,12,0,0,0,0,0,0,0,0,0,No,0,0.57,0.68,0,Yes,No,No,Yes,No,No
3301788,1,12,0,0,0,0,0,0,0,0,0,No,0,0.57,0.68,0,No,No,No,Yes,No,No
3301826,7,9,0,0,0,0,0,0,0,0,0,No,0,0.94,0.83,0,Yes,No,No,Yes,No,No
3301908,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,Yes,Yes,No,No
3302093,1,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
3302161,31,2,0,0,0,0,0,0,0,0,0,No,0,0.86,0.84,0,No,No,No,Yes,No,No
3302297,99,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
3302442,15,12,2,0,0,0,1,4,7,10,0,No,0,1,1,0,No,No,No,Yes,No,No
3302450,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
3302537,14,8,0,0,0,0,0,0,0,0,1,No,0,0.87,0.92,0,No,No,No,Yes,No,No
3302538,7,8,0,0,0,0,0,0,0,11,1,No,0,0.87,0.92,0,No,No,No,Yes,No,No
3302634,5,12,0,0,0,0,6,7,20,20,0,No,0,0.73,0.79,0,No,No,No,Yes,No,No
3302778,2,12,0,0,0,0,0,0,0,0,0,No,0,0.57,0.68,0,No,No,Yes,Yes,No,No
3302826,29,2,0,152,212,212,1,29,29,29,26,No,0,0.36,0.13,0,No,No,Yes,Yes,No,No
3302827,0,8,20,0,0,0,0,0,0,0,1,No,0,0.99,0.96,0,Yes,No,No,Yes,No,No
3302829,175,9,0,0,0,0,0,0,0,0,0,No,0,0.94,0.83,0,No,No,No,Yes,No,No
3302970,324,2,1,120,360,480,58,217,420,632,106,No,0,1,0.98,0,No,No,No,Yes,No,No
3303114,31,8,0,0,0,0,0,0,0,0,2,No,0,0.92,0.96,0,No,No,No,Yes,No,No
